            time               v             rho            temp          eratio            asym
  8.22509998E+04  4.38263677E+06  2.83833828E-09  2.90142486E+04  1.01046655E-01  0.00000000E+00
  8.25980505E+04  4.38310502E+06  2.83803507E-09  2.90787969E+04  1.01854765E-01  0.00000000E+00
  8.29451011E+04  4.38357327E+06  2.83773193E-09  2.91433453E+04  1.02665973E-01  0.00000000E+00
  8.32921517E+04  4.38404152E+06  2.83742885E-09  2.92078937E+04  1.03480223E-01  0.00000000E+00
  8.36392024E+04  4.38450977E+06  2.83712584E-09  2.92724420E+04  1.04297455E-01  0.00000000E+00
  8.39862530E+04  4.38497802E+06  2.83682289E-09  2.93369904E+04  1.05117610E-01  0.00000000E+00
  8.43333036E+04  4.38544628E+06  2.83652001E-09  2.94015387E+04  1.05940626E-01  0.00000000E+00
  8.46803543E+04  4.38591453E+06  2.83621719E-09  2.94660871E+04  1.06766442E-01  0.00000000E+00
  8.50274049E+04  4.38638278E+06  2.83591443E-09  2.95306355E+04  1.07594994E-01  0.00000000E+00
  8.53744555E+04  4.38685103E+06  2.83561174E-09  2.95951838E+04  1.08426219E-01  0.00000000E+00
  8.57215062E+04  4.38731928E+06  2.83530912E-09  2.96597322E+04  1.09260051E-01  0.00000000E+00
  8.60685568E+04  4.38778753E+06  2.83500656E-09  2.97242805E+04  1.10096427E-01  0.00000000E+00
  8.64156074E+04  4.38825578E+06  2.83470406E-09  2.97888289E+04  1.10935282E-01  0.00000000E+00
  8.67626581E+04  4.38872403E+06  2.83440163E-09  2.98533773E+04  1.11776548E-01  0.00000000E+00
  8.71097087E+04  4.38919229E+06  2.83409926E-09  2.99179256E+04  1.12620162E-01  0.00000000E+00
